nlm_id,title_abbreviation,title_full,authors,publication_start_year,publication_end_year,frequency,country,publisher,language,issn_electronic,issn_print,issn_linking,lccn,electronic_links,indexing_status,current_subset,mesh_terms,publication_types,notes,broad_subject_terms,subject_term_count
434571.0,Dtsch Zahn Mund Kieferheilkd Zentralbl Gesamte,"Deutsche Zahn-, Mund-, und Kieferheilkunde mit Zentralblatt für die gesamte","Deutsche Gesellschaft für Zahn-, Mund- und Kieferheilkunde.",1934,1974,Monthly,Germany,"Leipzig, Barth [etc.]","German, English",,0012-1010,0012-1010,sn 79018928,,Not currently indexed for MEDLINE.,,Dentistry; Stomatognathic Diseases*,Periodical,Title varies slightly. Publication suspended 1944-47. Summaries in English in,Dentistry,1
,Dtsch Zahnarztl Z,Deutsche zahnärztliche Zeitschrift.,Bayerische Landeskammer für Zahnärzte.; Deutsche Arbeitsgemeinschaft für,1946,,Monthly,Germany,"München, Hanser.",German,,0012-1029,0012-1029,sn 80002580,"https://www.online-dzz.de/archiv/, https://www.quintessence-publishing.com/deu/de/journal/deutsche-zahnaerztliche-zeitschrift",Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Imprint varies. Print issues ceased with 2022. Some nos. include one of various,Dentistry,1
9206422.0,EDS Mag,EDS magazine : official journal of the E.E.C. Dental Students Committee.,European Economic Community. Dental Students Committee.,1990,1994,Two no. a year,Germany,"Berlin : Quintessenz-Verlag,","English, French, German, Italian, Spanish",,0937-7654,,,,Not currently indexed for MEDLINE.,,"Dentistry*; Education, Dental*; Europe; Schools, Dental*; Students, Dental*",Periodical,Quarterly. Description based on: 1 (Jan. 1991); title from cover. Issues for Nov.,Dentistry,1
9212291.0,ENDO,Endo : revue française d'endodontie : publication officielle de la Société,Société française d'endodontie.,1992,1996,Quarterly,France,"Paris : Groupe CdP, [1992-","French, English, Spanish",,1168-5476,1168-5476,,,Not currently indexed for MEDLINE.,,Endodontics*,Periodical,Quarterly. Vol. 14 complete in one issue. Articles in French; summaries in,Dentistry,1
9878155.0,ENO FO,Eno Fo.,,1974,1975,,Mexico,Mexico Facultad De Odontologia,Spanish,,,,,,Not currently indexed for MEDLINE.,,,,,Dentistry,1
7506567.0,Edinb Dent Hosp Gaz,Edinburgh Dental Hospital gazette.,Edinburgh Dental Hospital and School.,1973,1982,Irregular,Scotland,"Edinburgh, Edinburgh Univ. Student Publications Board.",English,,0013-0907,0013-0907,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,"Vol. for 1978 includes an unnumbered, undated issue with title: EDH gazette.",Dentistry,1
122442.0,Educ Dent (Ica),Educación dental.,Universidad Nacional San Luis Gonzaga de Ica. Facultad de Odontología.,1964,1973,Semiannual,Peru,Ica.,Spanish,,0013-1083,,,,Not currently indexed for MEDLINE.,,"Central America; Education, Dental*",Periodical,Official organ of the Facultad de Odontología de la Universidad Nacional San,Dentistry; Education,2
7608320.0,Educ Dir Dent Aux,Educational directions for dental auxiliaries.,American Dental Hygienists' Association.,1976,1985,Quarterly,United States,"Chicago, American Dental Hygienists' Assn.","English, English",,0363-3888,0363-3888,,,Not currently indexed for MEDLINE.,,"Education, Dental*",Periodical,,Dentistry; Education,2
373212.0,Egypt Dent J,Egyptian dental journal.,Egyptian Dental Association.,1955,1995,Quarterly,Egypt,Cairo.,English,,0070-9484,0070-9484,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,"Includes an Arabic section, 1955- Issued by the Egyptian Dental Association.",Dentistry,1
8508054.0,Endod Dent Traumatol,Endodontics & dental traumatology.,,1985,2000,Bimonthly,Denmark,"Copenhagen : Munksgaard, c1985-c2000.",English,,0109-2502,0109-2502,,,Not currently indexed for MEDLINE.,,"Dentistry, Operative*; Endodontics*; Tooth Injuries*; Tooth/pathology*",Periodical,Title from cover.,Dentistry; Traumatology,2
100887863.0,Endod Prac,Endodontic practice.,,1998,,"Five no. a year, <2001->",England,"London : Finlayson Media Communications Ltd., 1998-",English,,1465-9417,1465-9417,,,Not currently indexed for MEDLINE.,,Endodontics*,Periodical,Title from cover.,Dentistry,1
125466.0,Endodoncia (Mex),Endodoncia.,Federación Endodóncica Iberoamericana.,1966,1967,Irregular,Mexico,México.,Spanish,,0071-0261,,,,Not currently indexed for MEDLINE.,,Endodontics*,Periodical,Organ of the Federación Endodóncica Iberoamericana.,Dentistry,1
1275101.0,Estomatol Cult,Estomatologia e cultura.,Associação Paulista de Cirurgiões-Dentistas. Secção Regional de Bauru.;,1967,1986,Four no. a year,Brazil,Bauru.,"Portuguese, English",,0014-1364,0014-1364,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Summaries in English. Official organ of the Faculdade de Odontologia de Bauru da,Dentistry,1
33754.0,Estomatologia,Estomatologia.,Academia Nacional de Estomatología de México.,1963,1966,Semiannual,Mexico,Mexico [1963-1966?],"Spanish, English",,0014-1356,0014-1356,,,Not currently indexed for MEDLINE.,,Mouth Diseases*; Tooth Diseases*,Periodical,Summaries in English. Official organ of the Academia Nacional de Estomatología,Dentistry,1
101277157.0,Eur Arch Paediatr Dent,European archives of paediatric dentistry : official journal of the European,European Academy of Paediatric Dentistry.,2006,,Quarterly,England,"Leeds, England : European Academy of Paediatric Dentistry, [2006]-",English,1996-9805,1818-6300,1818-6300,2006243384,"http://www.eapd.gr/985281C4.en.aspx, https://link.springer.com/journal/40368",Currently indexed for MEDLINE.,Dentistry; Index Medicus,Pediatric Dentistry*,Periodical,Title from cover. Also issued online.,Dentistry; Pediatrics,2
101717480.0,Eur Endod J,European endodontic journal.,,2016,,,Turkey,"Istanbul : Kare Publishing, [2016]-",English,2548-0839,,2548-0839,2018243024,"http://www.eurendodj.com, https://pmc.ncbi.nlm.nih.gov/journals/?term=101717480",Currently indexed for MEDLINE.,Dentistry; Index Medicus,Dental Pulp Diseases*; Endodontics,Periodical,Articles continuously published and cumulated in an annual volume.,Dentistry,1
9214373.0,Eur J Cancer B Oral Oncol,"European journal of cancer. Part B, Oral oncology.",European Organization for Research on Treatment of Cancer.; European Association,1992,1996,Bimonthly,England,"Oxford ; New York : Pergamon Press, c1992-c1996.",English,1878-6766,0964-1955,0964-1955,,http://www.sciencedirect.com/science/journal/09641955,Not currently indexed for MEDLINE.,,Mouth Diseases*; Mouth Neoplasms*,Periodical,Monthly. Title from cover p. 2. Also issued online. Issued by: European,Dentistry; Neoplasms,2
9712132.0,Eur J Dent Educ,European journal of dental education : official journal of the Association for,Association for Dental Education in Europe.,1997,,Four no. a year,England,"Copenhagen : Munksgaard, c1997-",English,1600-0579,1396-5883,1396-5883,sn 97039373,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0579,Currently indexed for MEDLINE.,Dentistry; Index Medicus,"Education, Dental; Europe",Periodical,Title from cover. Also issued online.,Dentistry; Education,2
