"","pmid","pmcid_pmc","pmcid_uid","doi","filename","is_relevant_data","is_relevant_code","article","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","is_success"
"1","11922867","","100323","10.1186/1472-6831-2-2","PMC 100323.xml",TRUE,FALSE,"10.1186/1472-6831-2-2",FALSE,"",FALSE,"","",TRUE
"2","15784155","","1079873","10.1186/1472-6831-5-2","PMC 1079873.xml",TRUE,TRUE,"10.1186/1472-6831-5-2",FALSE,"",FALSE,"","",TRUE
"3","15985166","","1182377","10.1186/1472-6831-5-4","PMC 1182377.xml",TRUE,TRUE,"10.1186/1472-6831-5-4",FALSE,"",FALSE,"","",TRUE
"4","15975140","","1183219","10.1186/1472-6831-5-3","PMC 1183219.xml",TRUE,FALSE,"10.1186/1472-6831-5-3",FALSE,"",FALSE,"","",TRUE
"5","16001984","","1183220","10.1186/1472-6831-5-5","PMC 1183220.xml",TRUE,FALSE,"10.1186/1472-6831-5-5",FALSE,"",FALSE,"","",TRUE
"6","16042782","","1183221","10.1186/1472-6831-5-6","PMC 1183221.xml",TRUE,TRUE,"10.1186/1472-6831-5-6",FALSE,"",FALSE,"","",TRUE
"7","16042806","","1190187","10.1186/1472-6831-5-7","PMC 1190187.xml",TRUE,FALSE,"10.1186/1472-6831-5-7",FALSE,"",FALSE,"","",TRUE
"8","16188024","","1249581","10.1186/1472-6831-5-8","PMC 1249581.xml",TRUE,TRUE,"10.1186/1472-6831-5-8",FALSE,"",FALSE,"","",TRUE
"9","12186656","","126264","10.1186/1472-6831-2-3","PMC 126264.xml",TRUE,FALSE,"10.1186/1472-6831-2-3",FALSE,"",FALSE,"","",TRUE
"10","16270916","","1266042","10.1186/1746-160X-1-3","PMC 1266042.xml",TRUE,FALSE,"10.1186/1746-160X-1-3",FALSE,"",FALSE,"","",TRUE
"11","16270929","","1277012","10.1186/1746-160X-1-4","PMC 1277012.xml",TRUE,TRUE,"10.1186/1746-160X-1-4",FALSE,"",FALSE,"","",TRUE
"12","16270926","","1277013","10.1186/1746-160X-1-5","PMC 1277013.xml",TRUE,TRUE,"10.1186/1746-160X-1-5",FALSE,"",FALSE,"","",TRUE
"13","16270927","","1277014","10.1186/1746-160X-1-6","PMC 1277014.xml",TRUE,FALSE,"10.1186/1746-160X-1-6",FALSE,"",FALSE,"","",TRUE
"14","16270942","","1277015","10.1186/1746-160X-1-7","PMC 1277015.xml",TRUE,TRUE,"10.1186/1746-160X-1-7",FALSE,"",FALSE,"","",TRUE
"15","16274480","","1291385","10.1186/1746-160X-1-11","PMC 1291385.xml",TRUE,TRUE,"10.1186/1746-160X-1-11",FALSE,"",FALSE,"","",TRUE
"16","16270912","","1298320","10.1186/1746-160X-1-10","PMC 1298320.xml",TRUE,FALSE,"10.1186/1746-160X-1-10",FALSE,"",FALSE,"","",TRUE
"17","16270909","","1298321","10.1186/1746-160X-1-9","PMC 1298321.xml",TRUE,FALSE,"10.1186/1746-160X-1-9",FALSE,"",FALSE,"","",TRUE
"18","16270908","","1308841","10.1186/1746-160X-1-8","PMC 1308841.xml",TRUE,FALSE,"10.1186/1746-160X-1-8",FALSE,"",FALSE,"","",TRUE
"19","16316464","","1315351","10.1186/1746-160X-1-12","PMC 1315351.xml",TRUE,FALSE,"10.1186/1746-160X-1-12",FALSE,"",FALSE,"","",TRUE
"20","16336661","","1334182","10.1186/1472-6831-5-9","PMC 1334182.xml",TRUE,FALSE,"10.1186/1472-6831-5-9",FALSE,"",FALSE,"","",TRUE
"21","16372908","","1351176","10.1186/1746-160X-1-14","PMC 1351176.xml",TRUE,FALSE,"10.1186/1746-160X-1-14",FALSE,"",FALSE,"","",TRUE
"22","16364185","","1351187","10.1186/1746-160X-1-13","PMC 1351187.xml",TRUE,TRUE,"10.1186/1746-160X-1-13",FALSE,"",FALSE,"","",TRUE
"23","16420691","","1360662","10.1186/1746-160X-2-2","PMC 1360662.xml",TRUE,TRUE,"10.1186/1746-160X-2-2",FALSE,"",FALSE,"","",TRUE
"24","16412234","","1368969","10.1186/1746-160X-2-1","PMC 1368969.xml",FALSE,FALSE,"10.1186/1746-160X-2-1",FALSE,"",FALSE,"","",TRUE
"25","16448565","","1382220","10.1186/1472-6831-6-3","PMC 1382220.xml",TRUE,FALSE,"10.1186/1472-6831-6-3",FALSE,"",FALSE,"","",TRUE
"26","16472401","","1382221","10.1186/1472-6831-6-4","PMC 1382221.xml",TRUE,FALSE,"10.1186/1472-6831-6-4",FALSE,"",FALSE,"","",TRUE
"27","16480503","","1386654","10.1186/1746-160X-2-3","PMC 1386654.xml",TRUE,FALSE,"10.1186/1746-160X-2-3",FALSE,"",FALSE,"","",TRUE
"28","16503983","","1386655","10.1186/1746-160X-2-4","PMC 1386655.xml",TRUE,TRUE,"10.1186/1746-160X-2-4",FALSE,"",FALSE,"","",TRUE
"29","16426455","","1388213","10.1186/1472-6831-6-1","PMC 1388213.xml",TRUE,FALSE,"10.1186/1472-6831-6-1",FALSE,"",FALSE,"","",TRUE
"30","16426457","","1388214","10.1186/1472-6831-6-2","PMC 1388214.xml",TRUE,FALSE,"10.1186/1472-6831-6-2",FALSE,"",FALSE,"","",TRUE
"31","12489985","","141335","10.1186/1472-6831-2-4","PMC 141335.xml",TRUE,FALSE,"10.1186/1472-6831-2-4",FALSE,"",FALSE,"","",TRUE
"32","16504052","","1421389","10.1186/1746-160X-2-5","PMC 1421389.xml",TRUE,TRUE,"10.1186/1746-160X-2-5",FALSE,"",FALSE,"","",TRUE
"33","16509983","","1435872","10.1186/1746-160X-2-6","PMC 1435872.xml",TRUE,TRUE,"10.1186/1746-160X-2-6",FALSE,"",FALSE,"","",TRUE
"34","16640775","","1459123","10.1186/1746-160X-2-10","PMC 1459123.xml",TRUE,TRUE,"10.1186/1746-160X-2-10",FALSE,"",FALSE,"","",TRUE
"35","16603094","","1459855","10.1186/1746-160X-2-9","PMC 1459855.xml",TRUE,FALSE,"10.1186/1746-160X-2-9",FALSE,"",FALSE,"","",TRUE
"36","16681852","","1471777","10.1186/1746-160X-2-11","PMC 1471777.xml",TRUE,FALSE,"10.1186/1746-160X-2-11",FALSE,"",FALSE,"","",TRUE
"37","16536880","","1471779","10.1186/1472-6831-6-5","PMC 1471779.xml",TRUE,FALSE,"10.1186/1472-6831-6-5",FALSE,"",FALSE,"","",TRUE
"38","16569245","","1475844","10.1186/1746-160X-2-7","PMC 1475844.xml",TRUE,FALSE,"10.1186/1746-160X-2-7",FALSE,"",FALSE,"","",TRUE
"39","16700908","","1475845","10.1186/1746-160X-2-12","PMC 1475845.xml",TRUE,FALSE,"10.1186/1746-160X-2-12",FALSE,"",FALSE,"","",TRUE
"40","16725030","","1481630","10.1186/1746-160X-2-16","PMC 1481630.xml",TRUE,FALSE,"10.1186/1746-160X-2-16",FALSE,"",FALSE,"","",TRUE
"41","16725024","","1481631","10.1186/1746-160X-2-14","PMC 1481631.xml",TRUE,FALSE,"10.1186/1746-160X-2-14",FALSE,"",FALSE,"","",TRUE
"42","16556326","","1482697","10.1186/1472-6831-6-6","PMC 1482697.xml",TRUE,TRUE,"10.1186/1472-6831-6-6",FALSE,"",FALSE,"","",TRUE
"43","16573842","","1483821","10.1186/1746-160X-2-8","PMC 1483821.xml",TRUE,FALSE,"10.1186/1746-160X-2-8",FALSE,"",FALSE,"","",TRUE
"44","16725028","","1484471","10.1186/1746-160X-2-15","PMC 1484471.xml",TRUE,TRUE,"10.1186/1746-160X-2-15",FALSE,"",FALSE,"","",TRUE
"45","12622874","","150567","10.1186/1472-6831-3-1","PMC 150567.xml",TRUE,FALSE,"10.1186/1472-6831-3-1",FALSE,"",FALSE,"","",TRUE
"46","16670027","","1513219","10.1186/1472-6831-6-7","PMC 1513219.xml",TRUE,TRUE,"10.1186/1472-6831-6-7",FALSE,"",FALSE,"","",TRUE
"47","16787530","","1524725","10.1186/1746-160X-2-17","PMC 1524725.xml",TRUE,TRUE,"10.1186/1746-160X-2-17",FALSE,"",FALSE,"","",TRUE
"48","16817959","","1524941","10.1186/1746-160X-2-20","PMC 1524941.xml",TRUE,TRUE,"10.1186/1746-160X-2-20",FALSE,"",FALSE,"","",TRUE
"49","16827940","","1534011","10.1186/1472-6831-6-11","PMC 1534011.xml",TRUE,TRUE,"10.1186/1472-6831-6-11",FALSE,"",FALSE,"","",TRUE
"50","16712728","","1538575","10.1186/1746-160X-2-13","PMC 1538575.xml",TRUE,TRUE,"10.1186/1746-160X-2-13",FALSE,"",FALSE,"","",TRUE
"51","16776820","","1543617","10.1186/1472-6831-6-8","PMC 1543617.xml",TRUE,TRUE,"10.1186/1472-6831-6-8",FALSE,"",FALSE,"","",TRUE
"52","16683108","","1544376","10.1007/s00784-006-0049-0","PMC 1544376.xml",TRUE,TRUE,"10.1007/s00784-006-0049-0",FALSE,"",FALSE,"","",TRUE
"53","16792797","","1550223","10.1186/1746-160X-2-18","PMC 1550223.xml",FALSE,FALSE,"10.1186/1746-160X-2-18",FALSE,"",FALSE,"","",TRUE
"54","16872488","","1553437","10.1186/1746-160X-2-21","PMC 1553437.xml",TRUE,FALSE,"10.1186/1746-160X-2-21",FALSE,"",FALSE,"","",TRUE
"55","16884542","","1553438","10.1186/1746-160X-2-22","PMC 1553438.xml",TRUE,FALSE,"10.1186/1746-160X-2-22",FALSE,"",FALSE,"","",TRUE
"56","16784534","","1553441","10.1186/1472-6831-6-9","PMC 1553441.xml",TRUE,FALSE,"10.1186/1472-6831-6-9",FALSE,"",FALSE,"","",TRUE
"57","16887047","","1557841","10.1186/1746-160X-2-23","PMC 1557841.xml",TRUE,FALSE,"10.1186/1746-160X-2-23",FALSE,"",FALSE,"","",TRUE
"58","16817952","","1559687","10.1186/1472-6831-6-10","PMC 1559687.xml",TRUE,TRUE,"10.1186/1472-6831-6-10",FALSE,"",FALSE,"","",TRUE
"59","16916469","","1559688","10.1186/1472-6831-6-12","PMC 1559688.xml",TRUE,FALSE,"10.1186/1472-6831-6-12",FALSE,"",FALSE,"","",TRUE
"60","16911793","","1562402","10.1186/1746-160X-2-24","PMC 1562402.xml",TRUE,FALSE,"10.1186/1746-160X-2-24",FALSE,"",FALSE,"","",TRUE
"61","16914032","","1563458","10.1186/1746-160X-2-25","PMC 1563458.xml",TRUE,FALSE,"10.1186/1746-160X-2-25",FALSE,"",FALSE,"","",TRUE
"62","16914036","","1563459","10.1186/1746-160X-2-26","PMC 1563459.xml",TRUE,TRUE,"10.1186/1746-160X-2-26",FALSE,"",FALSE,"","",TRUE
"63","16938135","","1564383","10.1186/1746-160X-2-27","PMC 1564383.xml",TRUE,FALSE,"10.1186/1746-160X-2-27",FALSE,"",FALSE,"","",TRUE
"64","12735791","","156614","10.1186/1472-6831-3-2","PMC 156614.xml",TRUE,FALSE,"10.1186/1472-6831-3-2",FALSE,"",FALSE,"","",TRUE
"65","16952313","","1569372","10.1186/1746-160X-2-28","PMC 1569372.xml",TRUE,FALSE,"10.1186/1746-160X-2-28",FALSE,"",FALSE,"","",TRUE
"66","16953897","","1570343","10.1186/1746-160X-2-29","PMC 1570343.xml",TRUE,FALSE,"10.1186/1746-160X-2-29",FALSE,"",FALSE,"","",TRUE
"67","16965623","","1570450","10.1186/1746-160X-2-30","PMC 1570450.xml",TRUE,FALSE,"10.1186/1746-160X-2-30",FALSE,"",FALSE,"","",TRUE
"68","17020609","","1601950","10.1186/1746-160X-2-31","PMC 1601950.xml",FALSE,FALSE,"10.1186/1746-160X-2-31",FALSE,"",FALSE,"","",TRUE
"69","17020619","","1609104","10.1186/1746-160X-2-32","PMC 1609104.xml",TRUE,FALSE,"10.1186/1746-160X-2-32",FALSE,"",FALSE,"","",TRUE
"70","17044922","","1621058","10.1186/1746-160X-2-34","PMC 1621058.xml",TRUE,TRUE,"10.1186/1746-160X-2-34",FALSE,"",FALSE,"","",TRUE
"71","17049085","","1629008","10.1186/1472-6831-6-13","PMC 1629008.xml",TRUE,TRUE,"10.1186/1472-6831-6-13",FALSE,"",FALSE,"","",TRUE
"72","17040577","","1629009","10.1186/1746-160X-2-33","PMC 1629009.xml",TRUE,FALSE,"10.1186/1746-160X-2-33",FALSE,"",FALSE,"","",TRUE
"73","17078888","","1634841","10.1186/1746-160X-2-35","PMC 1634841.xml",TRUE,FALSE,"10.1186/1746-160X-2-35",FALSE,"",FALSE,"","",TRUE
"74","17083739","","1636028","10.1186/1746-160X-2-36","PMC 1636028.xml",TRUE,TRUE,"10.1186/1746-160X-2-36",FALSE,"",FALSE,"","",TRUE
"75","17094798","","1637101","10.1186/1746-160X-2-38","PMC 1637101.xml",TRUE,FALSE,"10.1186/1746-160X-2-38",FALSE,"",FALSE,"","",TRUE
"76","17096860","","1660580","10.1186/1746-160X-2-40","PMC 1660580.xml",TRUE,FALSE,"10.1186/1746-160X-2-40",FALSE,"",FALSE,"","",TRUE
